WalkerID, PositionX, PositionY, PositionZ, Collisions, XIRate, log10(XIRate)
0, 1, 7, 0, 5714, 0.14285, 0.816361
1, 2, 7, 0, 5640, 0.141, 0.81513
2, 3, 7, 0, 5555, 0.138875, 0.813697
3, 4, 7, 0, 5621, 0.140525, 0.814812
4, 5, 7, 0, 5551, 0.138775, 0.813629
5, 6, 7, 0, 5495, 0.137375, 0.812673
6, 7, 7, 0, 5589, 0.139725, 0.814273
7, 1, 8, 0, 5660, 0.1415, 0.815464
8, 2, 8, 0, 5538, 0.13845, 0.813408
9, 3, 8, 0, 5708, 0.1427, 0.816261
10, 4, 8, 0, 5652, 0.1413, 0.815331
11, 5, 8, 0, 5600, 0.14, 0.814459
12, 6, 8, 0, 5765, 0.144125, 0.817199
13, 7, 8, 0, 5844, 0.1461, 0.818484
14, 1, 9, 0, 5576, 0.1394, 0.814053
15, 2, 9, 0, 5534, 0.13835, 0.81334
16, 3, 9, 0, 5483, 0.137075, 0.812466
17, 4, 9, 0, 5690, 0.14225, 0.815963
18, 5, 9, 0, 5633, 0.140825, 0.815013
19, 6, 9, 0, 5632, 0.1408, 0.814996
20, 7, 9, 0, 5796, 0.1449, 0.817705
21, 1, 10, 0, 5379, 0.134475, 0.810659
22, 2, 10, 0, 5766, 0.14415, 0.817215
23, 3, 10, 0, 5784, 0.1446, 0.81751
24, 4, 10, 0, 5538, 0.13845, 0.813408
25, 5, 10, 0, 5580, 0.1395, 0.814121
26, 6, 10, 0, 5616, 0.1404, 0.814728
27, 7, 10, 0, 5502, 0.13755, 0.812793
28, 12, 10, 0, 33408, 0.8352, 0.983006
29, 1, 11, 0, 5588, 0.1397, 0.814256
30, 2, 11, 0, 5466, 0.13665, 0.812173
31, 3, 11, 0, 5529, 0.138225, 0.813255
32, 4, 11, 0, 5572, 0.1393, 0.813986
33, 5, 11, 0, 5509, 0.137725, 0.812913
34, 6, 11, 0, 5551, 0.138775, 0.813629
35, 7, 11, 0, 5759, 0.143975, 0.817101
36, 12, 11, 0, 33288, 0.8322, 0.982666
37, 1, 12, 0, 5598, 0.13995, 0.814425
38, 2, 12, 0, 5694, 0.14235, 0.81603
39, 3, 12, 0, 5489, 0.137225, 0.812569
40, 4, 12, 0, 5535, 0.138375, 0.813357
41, 5, 12, 0, 5672, 0.1418, 0.815664
42, 6, 12, 0, 5853, 0.146325, 0.818629
43, 7, 12, 0, 5567, 0.139175, 0.813901
44, 16, 14, 0, 31249, 0.781225, 0.976701
45, 17, 17, 0, 31039, 0.775975, 0.976065
46, 7, 1, 1, 40000, 1, 1
47, 17, 3, 1, 40000, 1, 1
48, 18, 6, 1, 33303, 0.832575, 0.982708
49, 1, 7, 1, 5561, 0.139025, 0.813799
50, 2, 7, 1, 5509, 0.137725, 0.812913
51, 3, 7, 1, 5538, 0.13845, 0.813408
52, 4, 7, 1, 5713, 0.142825, 0.816344
53, 5, 7, 1, 5500, 0.1375, 0.812758
54, 6, 7, 1, 5558, 0.13895, 0.813748
55, 7, 7, 1, 5648, 0.1412, 0.815264
56, 18, 7, 1, 33372, 0.8343, 0.982904
57, 1, 8, 1, 5525, 0.138125, 0.813186
58, 2, 8, 1, 5868, 0.1467, 0.81887
59, 3, 8, 1, 5755, 0.143875, 0.817035
60, 4, 8, 1, 5667, 0.141675, 0.815581
61, 5, 8, 1, 5689, 0.142225, 0.815947
62, 6, 8, 1, 5505, 0.137625, 0.812844
63, 7, 8, 1, 5482, 0.13705, 0.812449
64, 1, 9, 1, 5642, 0.14105, 0.815164
65, 2, 9, 1, 5444, 0.1361, 0.811793
66, 3, 9, 1, 5639, 0.140975, 0.815114
67, 4, 9, 1, 5546, 0.13865, 0.813544
68, 5, 9, 1, 5574, 0.13935, 0.81402
69, 6, 9, 1, 5732, 0.1433, 0.816657
70, 7, 9, 1, 5765, 0.144125, 0.817199
71, 1, 10, 1, 5637, 0.140925, 0.81508
72, 2, 10, 1, 5669, 0.141725, 0.815614
73, 3, 10, 1, 5789, 0.144725, 0.817591
74, 4, 10, 1, 5804, 0.1451, 0.817835
75, 5, 10, 1, 5453, 0.136325, 0.811948
76, 6, 10, 1, 5467, 0.136675, 0.81219
77, 7, 10, 1, 5675, 0.141875, 0.815714
78, 1, 11, 1, 5529, 0.138225, 0.813255
79, 2, 11, 1, 5656, 0.1414, 0.815398
80, 3, 11, 1, 5611, 0.140275, 0.814644
81, 4, 11, 1, 5669, 0.141725, 0.815614
82, 5, 11, 1, 5754, 0.14385, 0.817019
83, 6, 11, 1, 5587, 0.139675, 0.814239
84, 7, 11, 1, 5709, 0.142725, 0.816278
85, 1, 12, 1, 5656, 0.1414, 0.815398
86, 2, 12, 1, 5569, 0.139225, 0.813935
87, 3, 12, 1, 5676, 0.1419, 0.815731
88, 4, 12, 1, 5633, 0.140825, 0.815013
89, 5, 12, 1, 5522, 0.13805, 0.813135
90, 6, 12, 1, 5706, 0.14265, 0.816228
91, 7, 12, 1, 5603, 0.140075, 0.814509
92, 16, 14, 1, 31108, 0.7777, 0.976274
93, 1, 15, 1, 13272, 0.3318, 0.895889
94, 2, 15, 1, 13287, 0.332175, 0.895996
95, 3, 15, 1, 13163, 0.329075, 0.895111
96, 4, 15, 1, 13431, 0.335775, 0.897013
97, 8, 15, 1, 26606, 0.66515, 0.961521
98, 1, 16, 1, 13197, 0.329925, 0.895355
99, 2, 16, 1, 13285, 0.332125, 0.895982
100, 3, 16, 1, 13351, 0.333775, 0.896449
101, 4, 16, 1, 13419, 0.335475, 0.896929
102, 8, 16, 1, 26638, 0.66595, 0.961635
103, 1, 17, 1, 13426, 0.33565, 0.896978
104, 2, 17, 1, 13129, 0.328225, 0.894867
105, 3, 17, 1, 13476, 0.3369, 0.897329
106, 4, 17, 1, 13412, 0.3353, 0.89688
107, 17, 17, 1, 31134, 0.77835, 0.976353
108, 1, 18, 1, 13265, 0.331625, 0.89584
109, 2, 18, 1, 13313, 0.332825, 0.89618
110, 3, 18, 1, 13427, 0.335675, 0.896985
111, 4, 18, 1, 13323, 0.333075, 0.896251
112, 3, 1, 2, 14591, 0.364775, 0.904831
113, 4, 1, 2, 14388, 0.3597, 0.903509
114, 10, 1, 2, 9980, 0.2495, 0.868987
115, 11, 1, 2, 10077, 0.251925, 0.8699
116, 12, 1, 2, 10057, 0.251425, 0.869712
117, 13, 1, 2, 10002, 0.25005, 0.869195
118, 3, 2, 2, 14391, 0.359775, 0.903528
119, 4, 2, 2, 14602, 0.36505, 0.904902
120, 10, 2, 2, 10138, 0.25345, 0.870469
121, 11, 2, 2, 9868, 0.2467, 0.867922
122, 12, 2, 2, 10098, 0.25245, 0.870096
123, 13, 2, 2, 9917, 0.247925, 0.868389
124, 3, 3, 2, 14396, 0.3599, 0.903561
125, 4, 3, 2, 14406, 0.36015, 0.903627
126, 10, 3, 2, 9856, 0.2464, 0.867807
127, 11, 3, 2, 9881, 0.247025, 0.868046
128, 12, 3, 2, 9921, 0.248025, 0.868427
129, 13, 3, 2, 9965, 0.249125, 0.868845
130, 3, 4, 2, 14497, 0.362425, 0.904221
131, 4, 4, 2, 14437, 0.360925, 0.903829
132, 10, 4, 2, 10049, 0.251225, 0.869637
133, 11, 4, 2, 9986, 0.24965, 0.869044
134, 12, 4, 2, 10041, 0.251025, 0.869562
135, 13, 4, 2, 10124, 0.2531, 0.870339
136, 1, 7, 2, 5780, 0.1445, 0.817444
137, 2, 7, 2, 5645, 0.141125, 0.815214
138, 3, 7, 2, 5681, 0.142025, 0.815814
139, 4, 7, 2, 5586, 0.13965, 0.814223
140, 5, 7, 2, 5709, 0.142725, 0.816278
141, 6, 7, 2, 5560, 0.139, 0.813782
142, 7, 7, 2, 5564, 0.1391, 0.81385
143, 1, 8, 2, 5601, 0.140025, 0.814476
144, 2, 8, 2, 5396, 0.1349, 0.810957
145, 3, 8, 2, 5550, 0.13875, 0.813612
146, 4, 8, 2, 5443, 0.136075, 0.811775
147, 5, 8, 2, 5609, 0.140225, 0.81461
148, 6, 8, 2, 5601, 0.140025, 0.814476
149, 7, 8, 2, 5827, 0.145675, 0.818209
150, 1, 9, 2, 5793, 0.144825, 0.817656
151, 2, 9, 2, 5538, 0.13845, 0.813408
152, 3, 9, 2, 5625, 0.140625, 0.814879
153, 4, 9, 2, 5465, 0.136625, 0.812156
154, 5, 9, 2, 5597, 0.139925, 0.814408
155, 6, 9, 2, 5476, 0.1369, 0.812346
156, 7, 9, 2, 5577, 0.139425, 0.81407
157, 1, 10, 2, 5399, 0.134975, 0.811009
158, 2, 10, 2, 5348, 0.1337, 0.810114
159, 3, 10, 2, 5548, 0.1387, 0.813578
160, 4, 10, 2, 5610, 0.14025, 0.814627
161, 5, 10, 2, 5717, 0.142925, 0.81641
162, 6, 10, 2, 5513, 0.137825, 0.812981
163, 7, 10, 2, 5526, 0.13815, 0.813203
164, 1, 11, 2, 5674, 0.14185, 0.815698
165, 2, 11, 2, 5713, 0.142825, 0.816344
166, 3, 11, 2, 5671, 0.141775, 0.815648
167, 4, 11, 2, 5688, 0.1422, 0.81593
168, 5, 11, 2, 5917, 0.147925, 0.819655
169, 6, 11, 2, 5672, 0.1418, 0.815664
170, 7, 11, 2, 5600, 0.14, 0.814459
171, 1, 12, 2, 5687, 0.142175, 0.815914
172, 2, 12, 2, 5764, 0.1441, 0.817183
173, 3, 12, 2, 5687, 0.142175, 0.815914
174, 4, 12, 2, 5597, 0.139925, 0.814408
175, 5, 12, 2, 5818, 0.14545, 0.818063
176, 6, 12, 2, 5489, 0.137225, 0.812569
177, 7, 12, 2, 5609, 0.140225, 0.81461
178, 11, 14, 2, 11085, 0.277125, 0.878897
179, 12, 14, 2, 11242, 0.28105, 0.880224
180, 13, 14, 2, 11087, 0.277175, 0.878914
181, 1, 15, 2, 13230, 0.33075, 0.89559
182, 2, 15, 2, 13251, 0.331275, 0.89574
183, 3, 15, 2, 13218, 0.33045, 0.895505
184, 4, 15, 2, 13199, 0.329975, 0.895369
185, 8, 15, 2, 26701, 0.667525, 0.961858
186, 11, 15, 2, 11069, 0.276725, 0.87876
187, 12, 15, 2, 11177, 0.279425, 0.879677
188, 13, 15, 2, 11183, 0.279575, 0.879727
189, 1, 16, 2, 13480, 0.337, 0.897357
190, 2, 16, 2, 13427, 0.335675, 0.896985
191, 3, 16, 2, 13433, 0.335825, 0.897027
192, 4, 16, 2, 13456, 0.3364, 0.897189
