WalkerID, PositionX, PositionY, PositionZ, Collisions, XIRate, log10(XIRate)
0, 1, 1, 0, 24508, 0.6127, 0.95377
1, 4, 1, 0, 24481, 0.612025, 0.953666
2, 7, 1, 0, 12687, 0.317175, 0.891635
3, 8, 1, 0, 12724, 0.3181, 0.89191
4, 1, 2, 0, 24425, 0.610625, 0.95345
5, 4, 2, 0, 24375, 0.609375, 0.953257
6, 7, 2, 0, 12555, 0.313875, 0.890648
7, 8, 2, 0, 12477, 0.311925, 0.89006
8, 7, 3, 0, 12655, 0.316375, 0.891397
9, 8, 3, 0, 12635, 0.315875, 0.891248
10, 7, 4, 0, 12674, 0.31685, 0.891539
11, 8, 4, 0, 12789, 0.319725, 0.892391
12, 1, 1, 1, 24470, 0.61175, 0.953624
13, 4, 1, 1, 24594, 0.61485, 0.954101
14, 7, 1, 1, 12745, 0.318625, 0.892066
15, 8, 1, 1, 12756, 0.3189, 0.892147
16, 1, 2, 1, 24423, 0.610575, 0.953442
17, 4, 2, 1, 24490, 0.61225, 0.953701
18, 7, 2, 1, 12633, 0.315825, 0.891233
19, 8, 2, 1, 12671, 0.316775, 0.891516
20, 7, 3, 1, 12867, 0.321675, 0.892965
21, 8, 3, 1, 12612, 0.3153, 0.891076
22, 7, 4, 1, 12732, 0.3183, 0.891969
23, 8, 4, 1, 12837, 0.320925, 0.892744
24, 1, 5, 1, 11113, 0.277825, 0.879135
25, 2, 5, 1, 10989, 0.274725, 0.878076
26, 3, 5, 1, 10989, 0.274725, 0.878076
27, 1, 6, 1, 11098, 0.27745, 0.879007
28, 2, 6, 1, 11133, 0.278325, 0.879305
29, 3, 6, 1, 11160, 0.279, 0.879533
30, 1, 7, 1, 10980, 0.2745, 0.877999
31, 2, 7, 1, 11021, 0.275525, 0.87835
32, 3, 7, 1, 11092, 0.2773, 0.878956
33, 1, 8, 1, 11003, 0.275075, 0.878196
34, 2, 8, 1, 11105, 0.277625, 0.879067
35, 3, 8, 1, 11285, 0.282125, 0.880584
36, 8, 8, 1, 40000, 1, 1
37, 7, 1, 2, 12611, 0.315275, 0.891068
38, 8, 1, 2, 12813, 0.320325, 0.892568
39, 7, 2, 2, 12598, 0.31495, 0.890971
40, 8, 2, 2, 12711, 0.317775, 0.891814
41, 7, 3, 2, 12788, 0.3197, 0.892384
42, 8, 3, 2, 12764, 0.3191, 0.892206
43, 7, 4, 2, 12736, 0.3184, 0.891999
44, 8, 4, 2, 12735, 0.318375, 0.891992
45, 1, 5, 2, 11346, 0.28365, 0.881093
46, 2, 5, 2, 11207, 0.280175, 0.87993
47, 3, 5, 2, 11141, 0.278525, 0.879372
48, 1, 6, 2, 11079, 0.276975, 0.878846
49, 2, 6, 2, 11049, 0.276225, 0.87859
50, 3, 6, 2, 11025, 0.275625, 0.878385
51, 1, 7, 2, 11098, 0.27745, 0.879007
52, 2, 7, 2, 11165, 0.279125, 0.879575
53, 3, 7, 2, 11223, 0.280575, 0.880064
54, 1, 8, 2, 11080, 0.277, 0.878854
55, 2, 8, 2, 11156, 0.2789, 0.879499
56, 3, 8, 2, 11214, 0.28035, 0.879989
57, 1, 5, 3, 11019, 0.275475, 0.878333
